company name,mobile no,website link,state and city,email,phone
['Deziworkz'],['tel:098970 41366'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5kZXppd29ya3ouY29tLw/31d4f4d9f4aea79fa75e213b965b6553/ue/NDYxMTYyOQ/d7276c291a17a0cf535d0bcec97c53cb'],"['Meerut, Delhi']",[],[],[]
['limÃ³n'],['tel:088262 78883'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5saW1vbi1kZXNpZ24uY29t/27718bc72032d17349f7f61ce95bb8fd/ue/Mzk2MjYzMjM/e59ebdaf82952fd4efb8b67fedf237db'],"['New Delhi, Delhi']",[],[],[]
['Knock on Wood'],['tel:011 4160 4180'],['https://www.houzz.in/trk/aHR0cDovL2tub2Nrb253b29kLmluLw/134074239891091cfcac51ed6e770be6/ue/MjUwMjkxNjY/bbbad7dd5f13b14499dd753e16bb26c0'],['New Delhi'],[],[],[]
['Naksh Contracts'],['tel:084487 90278'],[],['New Delhi'],[],[],[]
['MaddHome.com'],['tel:097114 67727'],['https://www.houzz.in/trk/aHR0cDovL21hZGRob21laW5kaWEuaG91enouY29t/7731194c305edf0570c20b6af1813851/ue/MjU5MTI3MDU/0cfa75785d03caf62d3aa3667dd44f50'],['New Delhi'],[],[],[]
['Warisan India'],['tel:098101 88004'],['https://www.houzz.in/trk/aHR0cDovL3d3dy53YXJpc2FuLmNvbQ/82485225c07692a6005d8310931d6b69/ue/NDQxMTAxNjc/4ef4d2e298626065e31d69ed9537f9bc'],"['New Delhi, Delhi']",[],[],[]
['The Decor Kart'],['tel:098734 15290'],['https://www.houzz.in/trk/aHR0cHM6Ly90aGVkZWNvcmthcnQuaG91enouaW4/274aa2f322e23dc3c32899d73ae06470/ue/NDE2NTc2OTQ/b742bad23961d6f73ccbe04ecfaaa410'],"['Delhi, Delhi']",['info@thedecorkart'],['info@thedecorkart'],['9198734152']
['Gorevizon'],['tel:095990 64301'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuZ29yZXZpem9uLmNvbQ/7025c5cdda1b7d0a570608a093b61e7d/ue/NDU3ODkzNzY/aa3bcbe147d1a4594e34deb01c153ed2'],"['Delhi, Delhi']",['ninfo@gorevizon'],['ninfo@gorevizon'],['9599064301']
['HÃ¤stens Sanger AB'],['tel:098106 69088'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5oYXN0ZW5zLmNvbQ/99c6dae5a2a9dcf32c3950abe42cc5e5/ue/MzkxNzczNjY/6d70757b9f97da624590d9387b0a1e04'],"['New Delhi, Uttar Pradesh']",['afsar@hastens'],['afsar@hastens'],[]
['Kaath'],['tel:098181 28645'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5rYWF0aC5pbg/60ca653a4aaeb9590e8979f96eb7e9c5/ue/NDM3MDY1NTY/b7f348861c49deb0ca87b147b9c4a6b2'],"['National Capital Territory of Delhi, Delhi']",[],[],[]
['In Living'],['tel:099103 85627'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5pbmxpdmluZy5jb20/55d015c3f760c55e3da2984318af2902/ue/Nzk3OTAwMw/a0ccecb4b78726dd96a0bc991c87d0be'],['Delhi'],[],[],[]
['Opus Indigo Designs Pvt. Ltd.'],['tel:011 4057 3213'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5vcHVzaW5kaWdvLmNvbS8/0c488b9237aca8498bfb21da688c65b0/ue/NDAwMDMwMzU/ebd8cfd7ea6b52b94bb25983cdd2841b'],"['New Delhi, Delhi']",[],[],[]
['Asian Chair Craft'],['tel:081304 99887'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuYXNpYW5jaGFpcmNyYWZ0LmNvbQ/8d13e0b99041afa6c778e3a5123fe455/ue/NzgxMTAxNw/3efcb64762a2dc5dd6c7182de0bfc7bd'],"['Gurgaon, Haryana']",[],[],[]
['HMSA designs'],['tel:098180 69554'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5obXNhZGVzaWducy5jb20/750177d641d1d23b5ded7a2a2155b307/ue/NTEzNDE4NTQ/6b567d3dfe2283fe10001f10cc0c3b75'],['new delhi'],[],[],[]
['IDUS Italian Furniture Store'],['tel:098715 00042'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuaWR1cy5pbg/a35cb0bcab1a21a498dcb1dd6f02c9bb/ue/NTYxMjY5NDA/44cfb714aef50fdb530610f2ce7a34e9'],"['Delhi, Delhi']",[],[],[]
['SIMCS HANDICRAFTS'],['tel:082952 69332'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuc2ltY3NoYW5kaWNyYWZ0cy5jb20/eafb2ae0fa72952f44ab4bb16c3fc33d/ue/MTUyMTkxMDk/651228e840672cba77366e729091dbce'],['New Delhi'],[],[],[]
['Heritage Passion Inc'],['tel:099718 42590'],[],"['New Delhi, Delhi']",[],[],[]
