title,mobilewebsite,state and city,email
['Deziworkz'],['tel:098970 41366'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5kZXppd29ya3ouY29tLw/31d4f4d9f4aea79fa75e213b965b6553/ue/NDYxMTYyOQ/d7276c291a17a0cf535d0bcec97c53cb'],"['Meerut, Delhi']",[]
['THE WILLOW CASA'],['tel:098731 82466'],['https://www.houzz.in/trk/aHR0cDovL3d3dy50aGV3aWxsb3cuY28uaW4/3732277bae8ed8d195dd3deb59d74c71/ue/NTQwODQ2MTU/ed18c025d1096dcdea783dd2373af3ce'],"['Gurgaon, Haryana']",[]
['Fanzart - Designer Fans'],['tel:090660 99000'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuZmFuemFydGZhbnMuY29tLw/5f065080559dd3ef106c53f9159ff292/ue/NDQzMjcyMzg/c4700e60be4d611c1206a66035eb182c'],"['Bangalore, Karnataka']",[]
['The Raj Company'],['tel:022 2354 1971'],['https://www.houzz.in/trk/aHR0cDovL3d3dy50aGVyYWpjby5jb20/343c023890096286e63b92162530faf0/ue/MTQ0NjA3NjU/57f15211d846f29d4788ec10b2756074'],['Mumbai'],[]
['Spoorti Sofa and Interiors'],['tel:077601 89261'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zcG9vcnRpaW50ZXJpb3JzLmNvbQ/9971a6b036926174fe8dc85a0dcd353a/ue/NTY0ODcyMTI/cc41514b6ce9cfb98969ba4c2ddaf829'],"['Bangalore, Karnataka']",[]
['Kajaria Plywood Pvt. Ltd.'],['tel:011 2694 6409'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cua2FqYXJpYXBseS5jb20v/3149f28fb844f9cc1afabdaec9b6edf6/ue/NTQ5NjgxMTY/0dc0f44ebd0ee5f4e7c611d196a6e00d'],"['New Delhi, Delhi']",[]
"[""Let's Furniture""]",['tel:020 2615 0099'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5sZXRzZnVybml0dXJlLmNvbQ/93f4b389c5b57db1a6dfb428fb5ede56/ue/NjMxMzM1/97b16284f05ee7ced3f1cd2bd3cd6c41'],"['Pune, Maharashtra']",[]
['shah_handicrafts'],['tel:095570 28495'],['https://www.houzz.in/trk/aHR0cDovL3F1aWNrc2VsbC5jby9zL3NoYWhoYW5kaWNyYWZ0cy0vc2hhaGhhbmRpY3JhZnRzL2IyaA/b718709a600e874854f2b96120172ce6/ue/NTA2MjY5MjQ/f3308797894d63aaa645a9625242ca7f'],"['Moradabad, Uttar Pradesh']",[]
['STEX / STEX Decor'],['tel:096633 03198'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zdGV4LmNvLmluLw/6412dddaae924261cadab6541b3ec3bb/ue/NTgxOTg1OTk/57910934836c9a00dbb503845a6dc486'],"['Bangalore, Karnataka']",[]
['HomeFixtures.in'],['tel:097420 87866'],['https://www.houzz.in/trk/aHR0cDovL2hvbWVmaXh0dXJlcy5pbi8/cc9ddfed1b2c9e7c8e44c3bd19cb592f/ue/NjA5NjMyODM/1b3ae70d5170e2b6fa132131ed42daa3'],"['Bengaluru, Karnataka']",[]
['Diseno navam'],['tel:095355 83200'],['https://www.houzz.in/trk/aHR0cHM6Ly9kaXNlbm9uYXZhbWZvdW50YWluLmJ1c2luZXNzLnNpdGU/10f9bb4863c124464bed7945f5bc1d81/ue/NTcyMjk0OTQ/d3d30de69ea20c24f54b10f188222eba'],"['Bangalore, Karnataka']",[]
['Josmo Studio'],['tel:0832 671 9001'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuam9zbW9zdHVkaW8uY29t/d83b10a3a6f1a89ff1ca69c3fa3e8668/ue/NTU2MDMyODU/984e601f6a3f476a5fe297010340c028'],"['Porvorim, Goa']",[]
['RBS INTERIORS  ( Interiors Decorator & Contractor)'],['tel:098195 24334'],['https://www.houzz.in/trk/aHR0cDovL3JhbWRldnJic2ludGVyaW9yc0BnbWFpbC5jb20/d9af76f00039cbd19d38f9080949749c/ue/MjYxNDkxMTg/e8d596f5ec40a810bd2e41979c13767c'],"['Mumbai, Maharashtra']",[]
['Simna Decor and Designe'],['tel:097734 21823'],[],"['Mumbai, Maharashtra']",[]
['Decotex Studio'],['tel:098191 25757'],['https://www.houzz.in/trk/aHR0cDovL2RlY290ZXhzdHVkaW8uY29t/8e8cf2952da9c2580da509768dd93108/ue/NTY1NDc4MjU/545d5f374f90025520f6ccb6887dcffb'],"['Thane, Maharashtra']",[]
['NIVASA'],['tel:098108 88985'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5uaXZhc2EuY29t/b9ebdb0499874789cd134bd747fde6d0/ue/NTc1MTg2Njg/0c8bf038658a7d1569876bbbfbcdb971'],"['Delhi, Delhi']",[]
['SIMONE'],['tel:022 7111 7700'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zaW1vbmUuY29tLw/91bafab9bd6c60ba5f63c6b30bcf8969/ue/NDIxNjM1MzY/ab7738d256a9855f0794dbe5e1698776'],"['Mumbai, Maharashtra']",[]
['Sat Kabir Art And Craft'],['tel:077270 71632'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zYXRrYWJpcmFydGFuZGNyYWZ0LmNvbQ/9cc6d7fc89171e3e0b1653b7091c3d64/ue/NTc2MDk4NTU/8765a63a8ba9dcccc445becaf3411d70'],"['Udaipur, Rajasthan']",[]
['Empyrean interior designer'],['tel:094727 66560'],[],"['Ranchi, Bihar']",[]
['CREATIVE INTERIORS'],['tel:090388 05963'],['https://www.houzz.in/trk/aHR0cDovL2NyZWF0aXZlaW50ZXJpb3Jza29sa2F0YS5jb20/b0f45d442ff7f47ea295cefdb894dfb1/ue/NTkzNTY2Nzc/49af761a2a9a0d920fe37b6fc51796fa'],"['Kolkata, West Bengal']",[]
['Gulmohar Lane'],['tel:088240 40096'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5ndWxtb2hhcmxhbmUuY29t/e2497312cff951cd3598f82033d085d5/ue/NDM1NzU2OTY/3f7396ee4d696cb43535895ea9e20132'],"['Jaipur, Rajasthan']",[]
['OPTIMUS INTERIORS AND FURNITURES'],['tel:094034 91538'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5vcHRpbXVzaW50ZXJpb3JzLmNvbQ/0553c42e79cff99e44f1aaee6cafed10/ue/NTc0NzY0ODk/8b6e65fcf8d40b791799432e10c677ed'],"['Pune, Maharashtra']",[]
['MAMPLE'],['tel:070115 12724'],['https://www.houzz.in/trk/aHR0cDovL21hbXBsZS5ob3V6ei5pbg/0f4d2a4c97f666b7a51e8cfccb548b7f/ue/NTI3MTU3NzM/faaee2c14e35d2281d5739e4b85e5042'],"['Moradabad, Uttar Pradesh']",[]
['PATIO - Outdoor Living . Since 2009'],['tel:099458 87000'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5wYXRpb2JhbmdhbG9yZS5jb20/dc0175bc21bbb3c8d53d10605cfde15b/ue/MjY3MDY0OQ/e97c9e200e2891e7cc047d3ef2a96844'],['Bangalore'],[]
['Uclap India'],['tel:091465 80452'],['https://www.houzz.in/trk/aHR0cDovL3VjbGFwaW5kaWEudWVuaXdlYi5jb20/730aa512ef0dc7a9bc4ccb2f2d125e03/ue/NTg1NTc5MDk/43c4dc29fb4b699c22213679da0f3833'],"['Mumbai, Maharashtra']",[]
['Shino Furnishings India Pvt.Ltd.'],['tel:079000 02529'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zaGlub2luZGlhLmNvbQ/bd6d86553dee3c44ae947cd39be415b9/ue/NTYyOTc0ODU/42bc5312507c455cbc7d3533f671e335'],"['Mumbai, Maharashtra']",[]
['Zara Industries'],['tel:076655 29529'],['https://www.houzz.in/trk/aHR0cDovL3d3dy56YXJhaW5kdXN0cmllcy5jb20v/81efc46947324278861016492821d0ea/ue/NTk0NTY2OTg/6c4734f5091e024ca9e860711bca75e9'],"['Jodhpur, Rajasthan']",[]
['Simply Sofas'],['tel:080 2223 2323'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5zaW1wbHlzb2Zhcy5pbg/4c648539fac98f5b3d0f679aeecd45ca/ue/Mzk1MjAzNTU/3242020cdc19b19e5adef2213841c4a1'],"['Bengaluru, Karnataka']",[]
['Sisconinterior'],['tel:36161830'],[],"['Gurgaon, Haryana']",[]
['Diveeja Enterprises'],['tel:088759 20000'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5ldGhuaWNpbmRpYWFydC5jb20/a607899307a5c7106549eaf10d550051/ue/MzgyOTg5NDk/50294e54987e884134985a8ea051a176'],"['Jodhpur, Rajasthan']",[]
['Battees & Badani'],['tel:081790 76952'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuYmF0dGVlc2FuZGJhZGFuaS5jb20v/1c18d2d98349b5524bc0d66b3f3d82a4/ue/NTg5MzM3ODI/461f2b3e9845eedfadc465bda5feb6fb'],"['Hyderabad, Telangana']",[]
['limÃ³n'],['tel:088262 78883'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5saW1vbi1kZXNpZ24uY29t/27718bc72032d17349f7f61ce95bb8fd/ue/Mzk2MjYzMjM/e59ebdaf82952fd4efb8b67fedf237db'],"['New Delhi, Delhi']",[]
['Neerja International Inc'],['tel:098290 52646'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cubmVlcmphLmNvbS8/026bef53616977ac30e22ed1be431fe1/ue/NDcyNjMwMDQ/9730a7885ce47b97e565199b162bba26'],"['Jaipur, Rajasthan']",[]
['FY INTERNATIONAL'],['tel:090128 11969'],['https://www.houzz.in/trk/aHR0cHM6Ly93ZWJ1c2VyXzU1ODI4MzE5LmhvdXp6Lmlu/5f23c8994143a4cdd8389eda9e4f0852/ue/NTMxOTI2MTE/5d929a8d03ac66f1eee5a535c6d3b5c8'],"['Moradabad, Uttar Pradesh']",[]
['LeelaTheStore'],['tel:097029 84777'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5sZWVsYXRoZXN0b3JlLmNvbQ/e533854da027e30c40f9049a7981487f/ue/NTUxMjMwMjU/d4fc65ab2b802ed56317fef44ddc5835'],"['mumbai, Maharashtra']",[]
['Warisan India'],['tel:098101 88004'],['https://www.houzz.in/trk/aHR0cDovL3d3dy53YXJpc2FuLmNvbQ/82485225c07692a6005d8310931d6b69/ue/NDQxMTAxNjc/4ef4d2e298626065e31d69ed9537f9bc'],"['New Delhi, Delhi']",[]
['Novak home concept'],['tel:074477 26267'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5ub3Zha2hvbWVzLmlu/ccaae003de3dac2588c2877da37af8d5/ue/NTQ0Mzk4MjE/ff4bbdb1ed1ee4bd789b7b071f5fe3f2'],"['Pune, Maharashtra']",[]
['MaddHome.com'],['tel:097114 67727'],['https://www.houzz.in/trk/aHR0cDovL21hZGRob21laW5kaWEuaG91enouY29t/7731194c305edf0570c20b6af1813851/ue/MjU5MTI3MDU/0cfa75785d03caf62d3aa3667dd44f50'],['New Delhi'],[]
['Modakply'],['tel:098960 82198'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5tb2Rha3BseS5jb20v/304be733cf5ae1d162440b4044b582aa/ue/NTQ4ODY0Nzc/1816aaba813188c42562e76cb74afb5e'],"['Delhi Road, Yamuna Nagar, Haryana']",[]
['Baaya Design'],['tel:65616632'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5iYWF5YWRlc2lnbi5jb20/ee3b9481b854f0a575726b128d41104c/ue/Mzg0MjI3NzY/7dd9d2787ecf9be59f4b01cd47bb4a93'],"['Mumbai, Maharashtra']",[]
['The Gallerium'],['tel:080 2521 0332'],['https://www.houzz.in/trk/aHR0cDovL3d3dy50aGVnYWxsZXJpdW0uaW4/4f219fc45dfb85bc23f3321c4800302b/ue/NDUxNzE3MDM/4976fd9c884cbc85c902d2825cba7e46'],"['Bangalore Urban, Karnataka']",[]
['Mehernosh Sidhwa'],['tel:098192 43867'],['https://www.houzz.in/trk/aHR0cHM6Ly9tZWhlcm5vc2hfc2lkaHdhLmhvdXp6Lmlu/55786d2f4c3cfa6a1b5fcfb7622999c7/ue/NDY3NzQxNjM/2036e3cb8af85b0db40462e8f64e6ef5'],"['Mumbai, Maharashtra']",[]
['SHREE EXPORTS'],['tel:088821 65634'],['https://www.houzz.in/trk/aHR0cDovL2h0dHA6Ly9zaHJlZWV4cG9ydHMubmV0Lw/aa71d662ba70ff95ebe686dfbf111780/ue/NjA2NTA3MTM/7b3a58f83dcdb5e71ec6380abea5c2d8'],"['Moradabad, Uttar Pradesh']",[]
['Attitudes'],['tel:091166 26118'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuYXR0aXR1ZGVzZGVjby5jb20v/f816324831ed8879369456c96ef22d7d/ue/NTYyMjU3ODY/59be9e86e77d97791db5da4933b91680'],"['Jaipur, Rajasthan']",[]
['Naksh Contracts'],['tel:084487 90278'],[],['New Delhi'],[]
['The Decor Kart'],['tel:098734 15290'],['https://www.houzz.in/trk/aHR0cHM6Ly90aGVkZWNvcmthcnQuaG91enouaW4/274aa2f322e23dc3c32899d73ae06470/ue/NDE2NTc2OTQ/b742bad23961d6f73ccbe04ecfaaa410'],"['Delhi, Delhi']",[]
['Luxox Pvt Ltd.'],['tel:093501 91393'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cubHV4b3guY29tLw/8aab41f4f3d465bfdaa694b6623c0897/ue/NTg1MTUxNjI/ed74731b088a54c308e186a877451e35'],"['New Delhi, Uttar Pradesh']",[]
['invisiblebed.com'],['tel:088849 90909'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5pbnZpc2libGViZWQuY29t/8f97f92dc8e370bf31eed7e2c2570156/ue/MzIyNDMxNjQ/9641d4aefa1b7e7c01a9ddd628976e5a'],"['Bangalore, Karnataka']",[]
['Gorevizon'],['tel:095990 64301'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cuZ29yZXZpem9uLmNvbQ/7025c5cdda1b7d0a570608a093b61e7d/ue/NDU3ODkzNzY/aa3bcbe147d1a4594e34deb01c153ed2'],"['Delhi, Delhi']",[]
['Pralhad Interior'],['tel:084469 28873'],[],"['Sangli, Maharashtra']",[]
['WWI Sourcing Pvt Ltd.'],['tel:091520 04061'],['https://www.houzz.in/trk/aHR0cDovL3d3aXNvdXJjaW5nLmNvbQ/99c8822eeddf5ab743fc44652b3f4af3/ue/NTYzNjczMDg/82ced97b4caf5160ce32ad0252109bbb'],"['MUMBAI., Maharashtra']",[]
['Woodstuffs'],['tel:099167 99122'],['https://www.houzz.in/trk/aHR0cHM6Ly93d3cud3Vkc3R1ZmZzLmNvbS8/1b5c582e15a2bfff135b65bf907df5d8/ue/MTMwNzE0ODU/187c87b89906e0c1308b5e0e34aa38b2'],"['Bangalore, Karnataka']",[]
['Ivantage Craft Pvt. Ltd.'],['tel:099540 12666'],['https://www.houzz.in/trk/aHR0cDovL3d3dy5ib29jYW5lLmNvbQ/76badad32397c39bb37e3e34067aee3a/ue/NTQ4NDc3OTk/51647a4648c7b77a13d6f76c9a52b755'],"['Guwahati, Assam']",[]
