company name,mobile no,website link,state and city,email,phone
Luxus India Pvt. Ltd,tel:040 2311 9931,https://www.houzz.in/trk/aHR0cDovL3d3dy5sdXh1cy1pbmRpYS5jb20/6ec6921f7c8fdfb0d2fd730b5de6a5d8/ue/MTQ4NTU1MjM/6eecf394f4e8b46093d0a7431bef2c7e,Hyderabad,,
The Couch Potato,tel:098333 30017,https://www.houzz.in/trk/aHR0cDovL3d3dy50aGVjb3VjaHBvdGF0by5pbg/3fb2358ba8f2d608b57d3574c07bb073/ue/MjAzMTI2Nzk/26cae9feb5e2bac01f5a4ea21df0d3dd,"Mumbai, Maharashtra",,
Cbi interior expert,tel:099674 30773,https://www.houzz.in/trk/aHR0cHM6Ly9jYmlfaW50ZXJpb3IuaG91enouaW4/93937a5f0d29741eb99fc63c1e19a0f3/ue/NDg3ODI4MTk/6edd17b57ab4f2dd8be7df251adfe230,"Mumbai, Maharashtra",,9967430773
Orange Tree,tel:090011 90790,https://www.houzz.in/trk/aHR0cDovL3d3dy5vcmFuZ2V0cmVlLmNvLmlu/41d4cc6b6bc9a4f25042a8e54257d5d1/ue/MjI0MTQ0MDU/ed304e96794b29e2b3050a9c644f4d6f,"Jodhpur, Rajasthan",,
india stone,tel:094141 34363,https://www.houzz.in/trk/aHR0cDovL3d3dy5pbmRpYXN0b25lc2h1Yi5pbg/4eb7efa422e99978525bac9d2e466f7d/ue/MjA4MTM2MA/44ecaa05c5dce6ae499531cb40321cb0,jodhpur,,
Acrylicore,tel:097148 28718,https://www.houzz.in/trk/aHR0cDovL2FjcnlsaWNvcmUyaW5kaWEuaG91enouaW4/b53af7ae76956f4a82f36a9f5a3e93a5/ue/Mzk2NzYzOTQ/1ec7563617fdcdd5e3950cebaedf6ad3,"Bhavnagar, Gujarat",,
om bhavya art,tel:094139 60340,,JODHPUR,,
Its All About Home,tel:0120 677 4224,https://www.houzz.in/trk/aHR0cDovL3d3dy5pYWFoLmNvbQ/1f3a4a181b8d47802425c0af16542099/ue/MzkzNDA3Nzc/57850e55fb7b307d9c4137c526c25b78,"Noida, Uttar Pradesh",,1000120
Amore Beaute,tel:098335 05057,https://www.houzz.in/trk/aHR0cDovL3d3dy5ldHN5LmNvbS9zaG9wL0Ftb3JlQmVhdXRlP3JlZj1zaG9wX3N1Z2c/c65ce028b7f049f3eaffd218d17057cd/ue/NDgyNDczOQ/6a97527bab473842a07be1eef43ec28d,Goa,,
Arbor Decor,tel:098205 06004,https://www.houzz.in/trk/aHR0cDovL3d3dy5hcmJvcmRlY29yLmlu/5fc07a46ab049314d2c5cbc0d53c3649/ue/NTQxODc3MzM/2c5f41696b90cf9738d247c1ff341873,"Mumbai, Maharashtra",,
XCLUSIVE INTERIORS,,https://www.houzz.in/trk/aHR0cDovL3d3dy54Y2x1c2l2ZWludGVyaW9ycy5uZXQ/02278137d3d08c0dc3567eb62e694ab4/ue/NDcwOTQwMA/871cc31d826a65c3b6eaa5e0cc0132f8,BANGALORE,,
Best Of Exports India,tel:076652 99458,https://www.houzz.in/trk/aHR0cDovL2Jlc3RvZmV4cG9ydHMuaW4/015cbadfde0a99ce46b6b4bf8e103fed/ue/NTAyNTIwNzc/f0a6bfafed146359d37d1556d62d3d03,"Jodhpur, Rajasthan",,
Moving Sands,tel:099164 94546,https://www.houzz.in/trk/aHR0cDovL3d3dy5tb3ZpbmdzYW5kcy5pbg/e22c5fa7c0dd24ad5d803f1b2e752c23/ue/NTA1MzA1MDU/8ac452999467ed55474bd23796620cf9,"Bangalore Urban, Karnataka",,
Aquarium Design India,tel:098407 17497,https://www.houzz.in/trk/aHR0cDovL3d3dy5hcXVhcml1bWRlc2lnbmluZGlhLmNvbQ/5c9c861bb23250fd5034f3e24b240d36/ue/MjA2MTA1NA/a57c71dbd17665f287943195ab5eb98e,Chennai,,
krupali modular kitchen,tel:098670 60068,https://www.houzz.in/trk/aHR0cDovL2tydXBhbGlraXRjaGVuQGZhY2Vib29rLmNvbQ/74e175b08cade1c95078cf6a81a9a11d/ue/OTAwNDE1OQ/348c7102c883f0e24684633a069271a8,mumbai,,
ARTS OF JODHPUR,tel:094141 41418,https://www.houzz.in/trk/aHR0cDovL3d3dy5hcnRvZmpvZGhwdXIuY29t/9334ca77501fff74704a47f4d115b3d9/ue/NzA0MzI2OQ/c12c205481b1006b143f84a5a3909a63,Jodhpur,,
Designer Aquarium India Pvt Ltd,tel:044 4554 4433,https://www.houzz.in/trk/aHR0cDovL3d3dy5hcXVhcml1bWluY2hlbm5haS5jb20/fdddb24b5da5e06ce6e49c725d5bf946/ue/NTUwNjU0NQ/906c507c4e735c5cc5b0bc0bb65b8ba7,Chennai,,
Foamtech Boutique,tel:094485 63829,https://www.houzz.in/trk/aHR0cDovL3d3dy5mb2FtdGVjaC5jby5pbi8/cce4540138120989716cc319c818dd64/ue/MTY5MDY0NDY/09a60aec2b25078292b0fa36940c7464,Bangalore,,
kamil Bhai & son,tel:085330 01212,https://www.houzz.in/trk/aHR0cDovL3d3dy5LYW1pbGJoYWluc29uLmNvbQ/6338e38d8965b68603553fa86f1029d3/ue/NDM4MjI4Mg/aa4f816127c4fb472df2900b5125a53a,Moradabad,,
kamil Bhai & son,tel:085330 01212,https://www.houzz.in/trk/aHR0cDovL3d3dy5LYW1pbGJoYWluc29uLmNvbQ/6338e38d8965b68603553fa86f1029d3/ue/NDM4MjI4Mg/aa4f816127c4fb472df2900b5125a53a,Moradabad,,
navkar furnishing,tel:098200 97619,https://www.houzz.in/trk/aHR0cDovL3d3dy5uYXZrYXJmdXJuaXNoaW5nLmlu/ffec714c38c6f5660449ec0075a0d1fd/ue/NTg2MTgxMjk/2d0d8c78aa3eaaa88d6a43ea83542b8f,"Mumbai, Maharashtra",,
AJAX RETAILS,tel:072300 77700,https://www.houzz.in/trk/aHR0cDovL3d3dy5ob21lZ2xhbW91ci5pbg/679f94298bb47b78a999e9786f30718a/ue/MTYwNDM2MTU/d18b4692beb45a27d5af76aafe4f64c8,"Jodhpur, Rajasthan",,
Desert Furnish Design Hub Pvt. Ltd.,tel:097690 03311,https://www.houzz.in/trk/aHR0cHM6Ly93d3cuZnVybml0dXJlcm9vdHMuY29t/87ac15c175913cb013580f6494c42e84/ue/NTY3NzUwOTA/86fd7c7e80520e65bd60a3e7cfcd5317,"Jodhpur, Rajasthan",,
Tapish Agrawal,tel:094236 87040,https://www.houzz.in/trk/aHR0cHM6Ly90YXBpc2hfYWdyYXdhbC5ob3V6ei5pbg/37b5e348a4577a5142ee7aa9756e7a99/ue/NTU2MTE1OTA/c1b48da2ef878d83ecec71b14551175d,"Nagpur, Maharashtra",,
NUMA,tel:092274 03175,https://www.houzz.in/trk/aHR0cDovL3d3dy5udW1hZ2xvYmFsLmNvbQ/b9e9f317da8b19a9145c41f21c2afc2a/ue/NDI2NTk5NDc/e074bbc0163be43f4da0e980f4187505,"Ahmedabad, Gujarat",,
Furniture buying Guide,tel:099867 69999,https://www.houzz.in/trk/aHR0cDovL3d3dy5zdG9yaWVzaG9tZXMuY29tLw/98d6ed428782da467b247cd642abf476/ue/NTk1MzU4OTU/10eb9af7b34715c2195ba830979d38c1,"Bangaluru, Karnataka",,
Elegant Arts & Frames,tel:098460 23393,,"Thrissur, Kerala",,
Milav Design,tel:096606 62001,https://www.houzz.in/trk/aHR0cDovL3d3dy5taWxhdmRlc2lnbi5jb20/645926540f59dfcc288178691538c232/ue/NTMxMzEyMTE/9c312861b543f5fe1b9af82ee4a60faa,"Jaipur, Rajasthan",,
KVID,tel:098291 52645,https://www.houzz.in/trk/aHR0cHM6Ly92YXJzaGFfa2hhdHJpNzQuaG91enouaW4/756b7ea2fb3b4f394f4f3075328ec6c4/ue/NTM4NTQ2MzY/71108675d2a801cc6dc21a9b9ed5db7a,"JAIPUR, Rajasthan",,
Red Oak Furniture,tel:081691 17737,https://www.houzz.in/trk/aHR0cHM6Ly93d3cucmVkb2FrLmluLw/1ccd4533577ed43eadf4b1a0bbdda8c1/ue/NTY4NzEzMzk/508dd5c3fbf98e1838a1edaa7fea46eb,"Mumbai, Maharashtra",,
Magnolia Furniture Store & Design Studio,tel:098204 85532,https://www.houzz.in/trk/aHR0cHM6Ly9tYWdub2xpYWhvbWUuY28uaW4/8b28488d014a15cbf2124e53c529bb71/ue/NTg4NTYxMjI/e6e30784ca2dfaf960d0b2372693feb8,"Mumbai, Maharashtra",,
Greenwood interior,tel:096864 72811,,"Bangalore, Karnataka",,
Godrej Script,tel:080 2525 2259,https://www.houzz.in/trk/aHR0cHM6Ly93d3cuc2NyaXB0b25saW5lLmNvbS8/398705015a536858f0e274a069bbc0aa/ue/NTUyMzMxMDM/f998aa77b6637a5d682c08d7f266ad03,"New Delhi, Delhi",,
Prince Art Exporter,tel:097727 12345,https://www.houzz.in/trk/aHR0cDovL3d3dy5wcmluY2VhcnRleHBvcnRlci5jb20/fa1cf1d21a217dcb66924e98aa39f3f2/ue/NTk4MjY0NjM/04c45830308d7b73705472ef2588401b,"Jodhpur, Rajasthan",,
Deziworkz,tel:098970 41366,https://www.houzz.in/trk/aHR0cDovL3d3dy5kZXppd29ya3ouY29tLw/31d4f4d9f4aea79fa75e213b965b6553/ue/NDYxMTYyOQ/d7276c291a17a0cf535d0bcec97c53cb,"Meerut, Delhi",,
THE WILLOW CASA,tel:098731 82466,https://www.houzz.in/trk/aHR0cDovL3d3dy50aGV3aWxsb3cuY28uaW4/3732277bae8ed8d195dd3deb59d74c71/ue/NTQwODQ2MTU/ed18c025d1096dcdea783dd2373af3ce,"Gurgaon, Haryana",,
Fanzart - Designer Fans,tel:090660 99000,https://www.houzz.in/trk/aHR0cHM6Ly93d3cuZmFuemFydGZhbnMuY29tLw/5f065080559dd3ef106c53f9159ff292/ue/NDQzMjcyMzg/c4700e60be4d611c1206a66035eb182c,"Bangalore, Karnataka",,660 9900
The Raj Company,tel:022 2354 1971,https://www.houzz.in/trk/aHR0cDovL3d3dy50aGVyYWpjby5jb20/343c023890096286e63b92162530faf0/ue/MTQ0NjA3NjU/57f15211d846f29d4788ec10b2756074,Mumbai,,
Spoorti Sofa and Interiors,tel:077601 89261,https://www.houzz.in/trk/aHR0cDovL3d3dy5zcG9vcnRpaW50ZXJpb3JzLmNvbQ/9971a6b036926174fe8dc85a0dcd353a/ue/NTY0ODcyMTI/cc41514b6ce9cfb98969ba4c2ddaf829,"Bangalore, Karnataka",,
Kajaria Plywood Pvt. Ltd.,tel:011 2694 6409,https://www.houzz.in/trk/aHR0cHM6Ly93d3cua2FqYXJpYXBseS5jb20v/3149f28fb844f9cc1afabdaec9b6edf6/ue/NTQ5NjgxMTY/0dc0f44ebd0ee5f4e7c611d196a6e00d,"New Delhi, Delhi",,
Let's Furniture,tel:020 2615 0099,https://www.houzz.in/trk/aHR0cDovL3d3dy5sZXRzZnVybml0dXJlLmNvbQ/93f4b389c5b57db1a6dfb428fb5ede56/ue/NjMxMzM1/97b16284f05ee7ced3f1cd2bd3cd6c41,"Pune, Maharashtra",,
shah_handicrafts,tel:095570 28495,https://www.houzz.in/trk/aHR0cDovL3F1aWNrc2VsbC5jby9zL3NoYWhoYW5kaWNyYWZ0cy0vc2hhaGhhbmRpY3JhZnRzL2IyaA/b718709a600e874854f2b96120172ce6/ue/NTA2MjY5MjQ/f3308797894d63aaa645a9625242ca7f,"Moradabad, Uttar Pradesh",,
STEX / STEX Decor,tel:096633 03198,https://www.houzz.in/trk/aHR0cDovL3d3dy5zdGV4LmNvLmluLw/6412dddaae924261cadab6541b3ec3bb/ue/NTgxOTg1OTk/57910934836c9a00dbb503845a6dc486,"Bangalore, Karnataka",,009180-4166 009180-4161
Diseno navam,tel:095355 83200,https://www.houzz.in/trk/aHR0cHM6Ly9kaXNlbm9uYXZhbWZvdW50YWluLmJ1c2luZXNzLnNpdGU/10f9bb4863c124464bed7945f5bc1d81/ue/NTcyMjk0OTQ/d3d30de69ea20c24f54b10f188222eba,"Bangalore, Karnataka",,
HomeFixtures.in,tel:097420 87866,https://www.houzz.in/trk/aHR0cDovL2hvbWVmaXh0dXJlcy5pbi8/cc9ddfed1b2c9e7c8e44c3bd19cb592f/ue/NjA5NjMyODM/1b3ae70d5170e2b6fa132131ed42daa3,"Bengaluru, Karnataka",,
Josmo Studio,tel:0832 671 9001,https://www.houzz.in/trk/aHR0cHM6Ly93d3cuam9zbW9zdHVkaW8uY29t/d83b10a3a6f1a89ff1ca69c3fa3e8668/ue/NTU2MDMyODU/984e601f6a3f476a5fe297010340c028,"Porvorim, Goa",info@josmostudio.com,
RBS INTERIORS  ( Interiors Decorator & Contractor),tel:098195 24334,https://www.houzz.in/trk/aHR0cDovL3JhbWRldnJic2ludGVyaW9yc0BnbWFpbC5jb20/d9af76f00039cbd19d38f9080949749c/ue/MjYxNDkxMTg/e8d596f5ec40a810bd2e41979c13767c,"Mumbai, Maharashtra",,
Simna Decor and Designe,tel:097734 21823,,"Mumbai, Maharashtra",simna78dd@gmail.com,9821933864 9773421823
Decotex Studio,tel:098191 25757,https://www.houzz.in/trk/aHR0cDovL2RlY290ZXhzdHVkaW8uY29t/8e8cf2952da9c2580da509768dd93108/ue/NTY1NDc4MjU/545d5f374f90025520f6ccb6887dcffb,"Thane, Maharashtra",,9819125757
NIVASA,tel:098108 88985,https://www.houzz.in/trk/aHR0cDovL3d3dy5uaXZhc2EuY29t/b9ebdb0499874789cd134bd747fde6d0/ue/NTc1MTg2Njg/0c8bf038658a7d1569876bbbfbcdb971,"Delhi, Delhi",,
SIMONE,tel:022 7111 7700,https://www.houzz.in/trk/aHR0cDovL3d3dy5zaW1vbmUuY29tLw/91bafab9bd6c60ba5f63c6b30bcf8969/ue/NDIxNjM1MzY/ab7738d256a9855f0794dbe5e1698776,"Mumbai, Maharashtra",,
Empyrean interior designer,tel:094727 66560,,"Ranchi, Bihar",,
Sat Kabir Art And Craft,tel:077270 71632,https://www.houzz.in/trk/aHR0cDovL3d3dy5zYXRrYWJpcmFydGFuZGNyYWZ0LmNvbQ/9cc6d7fc89171e3e0b1653b7091c3d64/ue/NTc2MDk4NTU/8765a63a8ba9dcccc445becaf3411d70,"Udaipur, Rajasthan",,
CREATIVE INTERIORS,tel:090388 05963,https://www.houzz.in/trk/aHR0cDovL2NyZWF0aXZlaW50ZXJpb3Jza29sa2F0YS5jb20/b0f45d442ff7f47ea295cefdb894dfb1/ue/NTkzNTY2Nzc/49af761a2a9a0d920fe37b6fc51796fa,"Kolkata, West Bengal",,
Gulmohar Lane,tel:088240 40096,https://www.houzz.in/trk/aHR0cDovL3d3dy5ndWxtb2hhcmxhbmUuY29t/e2497312cff951cd3598f82033d085d5/ue/NDM1NzU2OTY/3f7396ee4d696cb43535895ea9e20132,"Jaipur, Rajasthan",,
OPTIMUS INTERIORS AND FURNITURES,tel:094034 91538,https://www.houzz.in/trk/aHR0cDovL3d3dy5vcHRpbXVzaW50ZXJpb3JzLmNvbQ/0553c42e79cff99e44f1aaee6cafed10/ue/NTc0NzY0ODk/8b6e65fcf8d40b791799432e10c677ed,"Pune, Maharashtra",,
MAMPLE,tel:070115 12724,https://www.houzz.in/trk/aHR0cDovL21hbXBsZS5ob3V6ei5pbg/0f4d2a4c97f666b7a51e8cfccb548b7f/ue/NTI3MTU3NzM/faaee2c14e35d2281d5739e4b85e5042,"Moradabad, Uttar Pradesh",,
PATIO - Outdoor Living . Since 2009,tel:099458 87000,https://www.houzz.in/trk/aHR0cDovL3d3dy5wYXRpb2JhbmdhbG9yZS5jb20/dc0175bc21bbb3c8d53d10605cfde15b/ue/MjY3MDY0OQ/e97c9e200e2891e7cc047d3ef2a96844,Bangalore,,
Uclap India,tel:091465 80452,https://www.houzz.in/trk/aHR0cDovL3VjbGFwaW5kaWEudWVuaXdlYi5jb20/730aa512ef0dc7a9bc4ccb2f2d125e03/ue/NTg1NTc5MDk/43c4dc29fb4b699c22213679da0f3833,"Mumbai, Maharashtra",nUclapindia@gmail.com,9146580452
Zara Industries,tel:076655 29529,https://www.houzz.in/trk/aHR0cDovL3d3dy56YXJhaW5kdXN0cmllcy5jb20v/81efc46947324278861016492821d0ea/ue/NTk0NTY2OTg/6c4734f5091e024ca9e860711bca75e9,"Jodhpur, Rajasthan",,
Shino Furnishings India Pvt.Ltd.,tel:079000 02529,https://www.houzz.in/trk/aHR0cDovL3d3dy5zaGlub2luZGlhLmNvbQ/bd6d86553dee3c44ae947cd39be415b9/ue/NTYyOTc0ODU/42bc5312507c455cbc7d3533f671e335,"Mumbai, Maharashtra",,9179000025 9197697632
Simply Sofas,tel:080 2223 2323,https://www.houzz.in/trk/aHR0cDovL3d3dy5zaW1wbHlzb2Zhcy5pbg/4c648539fac98f5b3d0f679aeecd45ca/ue/Mzk1MjAzNTU/3242020cdc19b19e5adef2213841c4a1,"Bengaluru, Karnataka",,
Sisconinterior,tel:36161830,,"Gurgaon, Haryana",,
Diveeja Enterprises,tel:088759 20000,https://www.houzz.in/trk/aHR0cDovL3d3dy5ldGhuaWNpbmRpYWFydC5jb20/a607899307a5c7106549eaf10d550051/ue/MzgyOTg5NDk/50294e54987e884134985a8ea051a176,"Jodhpur, Rajasthan",,
Battees & Badani,tel:081790 76952,https://www.houzz.in/trk/aHR0cHM6Ly93d3cuYmF0dGVlc2FuZGJhZGFuaS5jb20v/1c18d2d98349b5524bc0d66b3f3d82a4/ue/NTg5MzM3ODI/461f2b3e9845eedfadc465bda5feb6fb,"Hyderabad, Telangana",,
limÃ³n,tel:088262 78883,https://www.houzz.in/trk/aHR0cDovL3d3dy5saW1vbi1kZXNpZ24uY29t/27718bc72032d17349f7f61ce95bb8fd/ue/Mzk2MjYzMjM/e59ebdaf82952fd4efb8b67fedf237db,"New Delhi, Delhi",,
Neerja International Inc,tel:098290 52646,https://www.houzz.in/trk/aHR0cHM6Ly93d3cubmVlcmphLmNvbS8/026bef53616977ac30e22ed1be431fe1/ue/NDcyNjMwMDQ/9730a7885ce47b97e565199b162bba26,"Jaipur, Rajasthan",info@neerjainternational.com,
FY INTERNATIONAL,tel:090128 11969,https://www.houzz.in/trk/aHR0cHM6Ly93ZWJ1c2VyXzU1ODI4MzE5LmhvdXp6Lmlu/5f23c8994143a4cdd8389eda9e4f0852/ue/NTMxOTI2MTE/5d929a8d03ac66f1eee5a535c6d3b5c8,"Moradabad, Uttar Pradesh",,
LeelaTheStore,tel:097029 84777,https://www.houzz.in/trk/aHR0cDovL3d3dy5sZWVsYXRoZXN0b3JlLmNvbQ/e533854da027e30c40f9049a7981487f/ue/NTUxMjMwMjU/d4fc65ab2b802ed56317fef44ddc5835,"mumbai, Maharashtra",,
Warisan India,tel:098101 88004,https://www.houzz.in/trk/aHR0cDovL3d3dy53YXJpc2FuLmNvbQ/82485225c07692a6005d8310931d6b69/ue/NDQxMTAxNjc/4ef4d2e298626065e31d69ed9537f9bc,"New Delhi, Delhi",,
Novak home concept,tel:074477 26267,https://www.houzz.in/trk/aHR0cDovL3d3dy5ub3Zha2hvbWVzLmlu/ccaae003de3dac2588c2877da37af8d5/ue/NTQ0Mzk4MjE/ff4bbdb1ed1ee4bd789b7b071f5fe3f2,"Pune, Maharashtra",,
MaddHome.com,tel:097114 67727,https://www.houzz.in/trk/aHR0cDovL21hZGRob21laW5kaWEuaG91enouY29t/7731194c305edf0570c20b6af1813851/ue/MjU5MTI3MDU/0cfa75785d03caf62d3aa3667dd44f50,New Delhi,,
Baaya Design,tel:65616632,https://www.houzz.in/trk/aHR0cDovL3d3dy5iYWF5YWRlc2lnbi5jb20/ee3b9481b854f0a575726b128d41104c/ue/Mzg0MjI3NzY/7dd9d2787ecf9be59f4b01cd47bb4a93,"Mumbai, Maharashtra",shibani@baayadesign.com anupriya@baayadesign.com,6521016 022-2497946
The Gallerium,tel:080 2521 0332,https://www.houzz.in/trk/aHR0cDovL3d3dy50aGVnYWxsZXJpdW0uaW4/4f219fc45dfb85bc23f3321c4800302b/ue/NDUxNzE3MDM/4976fd9c884cbc85c902d2825cba7e46,"Bangalore Urban, Karnataka",,
